playlist_name,playlist_img,track_name,track_uri,artist_name,album_name,album_img,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,monster,2FUNBaa5DwItJtYEBgAblU,21 Savage,i am > i was,https://i.scdn.co/image/e89fed2244d8ea00f46312790c3a3b9f4092e5a6,0.89,0.607,A,-6.916,minor,0.124,0.158,2.28e-4,0.118,0.224,134.022,233040,4,A minor
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Trampoline,0lsRatBUs9HNIZAmoGABzk,SHAED,MELT,https://i.scdn.co/image/c2cbe32149e10b8348c7f59693c25755dffe5fa4,0.689,0.412,G,-7.523,minor,0.0301,0.488,1.6e-4,0.0659,0.537,126.754,184060,4,G minor
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),https://i.scdn.co/image/beed5edf4331ac27c2095a04ca51d84cc25133f8,0.703,0.723,A,-5.45,minor,0.0412,0.0302,2.06e-6,0.126,0.288,104.969,198903,4,A minor
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,when the party's over,14JzyD6FlBD5z0wV5P07YI,Billie Eilish,when the party's over,https://i.scdn.co/image/b322fdd64bf41d292684ca57a919d5fc9c537072,0.498,0.104,C#,-14.08,minor,0.0621,0.979,7.86e-5,0.0895,0.205,124.001,199931,3,C# minor
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Solo de Mi,5YOkA7qd2983FtBQnP8sYx,Bad Bunny,Solo de Mi,https://i.scdn.co/image/f4e800461b7b35c90d1684945340ae286b6ceed5,0.743,0.73,A#,-4.314,minor,0.125,0.287,8.1e-5,0.0778,0.15,179.972,197968,4,A# minor
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Happy Now (feat. Sandro Cavazza),14sOS5L36385FJ3OL8hew4,Kygo,Happy Now (feat. Sandro Cavazza),https://i.scdn.co/image/cfd28be6bbcf7d88bc4580b4ae66a7120f184072,0.693,0.575,A,-6.998,major,0.0801,0.374,0,0.252,0.492,117.999,211362,4,A major
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",4Uy3kNxW2kB8AEoXljEcth,Nicki Minaj,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),https://i.scdn.co/image/3aa37254a41cf96e81572524ec523cb870f2bb89,0.766,0.881,A,-5.158,minor,0.137,0.0166,2.3e-6,0.347,0.674,112.027,174893,5,A minor
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Rewrite The Stars (with James Arthur & Anne-Marie),78nplE9X2ZGvQh3TKgvldE,James Arthur,The Greatest Showman: Reimagined,https://i.scdn.co/image/d6b9f37838bb6f4eb8ffca96fe18b20b3d23f2f8,0.67,0.743,A#,-4.993,major,0.0393,0.237,0,0.465,0.571,125.944,218293,4,A# major
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Roses (with Juice WRLD feat. Brendon Urie),1KVczjazCcCCgM3gXXUl47,benny blanco,FRIENDS KEEP SECRETS,https://i.scdn.co/image/f3420e21041cf842dca37865ce02585c790a0f63,0.612,0.601,G#,-7.089,major,0.164,0.168,0,0.117,0.525,147.018,223543,4,G# major
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Kiss and Make Up,7jr3iPu4O4bTCVwLMbdU2i,Dua Lipa,Dua Lipa (Complete Edition),https://i.scdn.co/image/a59ba61362a7301facba81a94c9cb1d9d4496b3a,0.678,0.729,G#,-4.188,major,0.137,0.0658,0,0.303,0.643,99.895,189173,4,G# major
TOP HITS BAHRAIN - TOP 50 BAHRAIN - BAHRAIN TOP 50 - TOP SONGS IN BAHRAIN 2019,https://pl.scdn.co/images/pl/default/20fa306cca6c1305f44836c3422056642a875c99,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,Breach,https://i.scdn.co/image/3a37669a81c84c03be6dccea6d83a084f8bdddfd,0.501,0.405,C#,-5.679,major,0.0319,0.751,0,0.105,0.446,109.891,182161,4,C# major
